class,confidence
1,0.5000000000000001
1,0.7235772029869002
0,0.8032972505579581
0,0.6499171970812372
0,0.5747452500296932
1,0.7241868340245412
1,0.7984877252865429
1,0.8353727987302362
1,0.8569770879726676
0,0.6784880483454611
0,0.5892439622178366
1,0.5446219733645634
1,0.5223109857142376
0,0.5111554927361134
1,0.6915517304048165
1,0.5957758651374773
1,0.7254275976006271
1,0.6127137987955377
0,0.7433761981678979
0,0.6216880990836268
1,0.5608440495417731
1,0.7183094682637987
1,0.6091547341318949
0,0.7394121966587528
0,0.6197060983293762
0,0.7468113787306196
1,0.8121252820749706
1,0.6560626410374852
1,0.7632745609156026
0,0.817287937273506
1,0.847508119512046
0,0.8477738294906108
1,0.8627267315162299
0,0.6813633657581151
0,0.7717552617753614
1,0.8214355782795142
0,0.8448981460098928
1,0.857096171594161
0,0.8675443569949152
0,0.6837721784974576
1,0.591886089248729
0,0.7337176059288166
1,0.6168588029644084
1,0.7407715696421484
0,0.6203857848210742
0,0.5601928924105372
1,0.5300964462052686
1,0.5150482231026343
0,0.6824963656978182
0,0.7793154746935719
