class,confidence
1,0.8667599534055627
1,0.8720272312180022
0,0.5
0,0.8499420372495787
1,0.874420517206367
1,0.8774357842122649
1,0.8768589633315265
0,0.5761416350514788
1,0.8792809613785574
1,0.5000000000000001
0,0.5000000000000001
1,0.5000000000000002
1,0.5
1,0.5
0,0.8342744990812081
1,0.5000000000000001
0,0.5
0,0.872208585935264
1,0.5817669466328683
1,0.5
1,0.8714022197425703
1,0.8819909210782584
1,0.5000000000000002
1,0.5000000000000003
1,0.5000000000000001
1,0.5000000000000001
1,0.8576603608267248
0,0.5000000000000002
0,0.5000000000000002
0,0.8822845517708978
1,0.8788245295160626
1,0.8792923041079503
1,0.5
1,0.5000000000000001
0,0.8805765533607955
0,0.5000000000000002
0,0.8561350001222602
0,0.5000000000000002
0,0.8721381818813836
0,0.8750543489647424
0,0.8783288952139996
1,0.5000000000000002
0,0.8784550515235983
1,0.8797596206109474
1,0.8773962541614306
0,0.8754315604326046
1,0.8493293893980703
0,0.8741424337852975
0,0.8600299846940243
0,0.5
